zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85204,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.78,Phoenix,53330
85205,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.43,-111.71,Phoenix,35650
85206,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.71,Phoenix,28030
85207,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.45,-111.64,Phoenix,42700
85208,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.4,-111.63,Phoenix,29170
85209,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.37,-111.64,Phoenix,36250
85210,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,"480,928",NA,US,33.38,-111.84,Phoenix,32490
85211,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.44,-111.84,Phoenix,1774
85212,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.33,-111.63,Phoenix,41750
85213,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.44,-111.76,Phoenix,31150
85214,PO BOX,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.39,-111.78,Phoenix,874
